definition_name,time_period,value
profile3,01T11:00,0.26659
profile3,01T11:30,0.26659
profile3,01T12:00,0.26996
profile3,01T12:30,0.26996
profile3,01T13:00,0.25118
profile3,01T13:30,0.25118
profile3,01T14:00,0.18521
profile3,01T14:30,0.18521
profile3,01T15:00,0.15541
profile3,01T15:30,0.15541
profile3,01T16:00,0.51249
profile3,01T16:30,0.51249
profile3,01T17:00,0.88397
profile3,01T17:30,0.88397
profile3,01T18:00,0.86388
profile3,01T18:30,0.86388
profile3,01T19:00,0.88338
profile3,01T19:30,0.88338
profile3,01T20:00,0.95188
profile3,01T20:30,0.95188
profile3,01T21:00,0.94732
profile3,01T21:30,0.94732
profile3,01T22:00,0.97484
profile3,01T22:30,0.97484
profile3,01T23:00,0.94000
profile3,01T23:30,0.94000
