building_name,zone_name,surface_name,surface_type,surface_area,surface_comment
primo_survey_1zone_no_mass,zone_1,surface_floor,primo_survey_floor,25,5*5
primo_survey_1zone,zone_1,surface_floor,primo_survey_floor,25,5*5
