building_name,weather_type,plant_cooling_type,plant_heating_type,storage_type
primo_survey_1zone_no_mass,singapore_iwec,cea_plant_cooling,cea_plant_heating,
primo_survey_1zone,singapore_iwec,cea_plant_cooling,cea_plant_heating,
