"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","03 Jan 2021","36","8.00"
"MFP","03 Jan 2021","37","8.00"
"MFP","03 Jan 2021","38","8.00"
"MFP","03 Jan 2021","39","8.00"
"MFP","03 Jan 2021","40","8.00"
"MFP","03 Jan 2021","41","8.00"
"MFP","03 Jan 2021","42","1.33"
"MFP","03 Jan 2021","43","4.58"
"MFP","03 Jan 2021","44","8.00"
"MFP","03 Jan 2021","45","1.33"
"MFP","03 Jan 2021","46","1.33"
"MFP","03 Jan 2021","47","1.28"
"MFP","03 Jan 2021","48","1.20"
"MFP","04 Jan 2021","1","1.10"
"MFP","04 Jan 2021","2","0.88"
"MFP","04 Jan 2021","3","0.88"
"MFP","04 Jan 2021","4","0.60"
"MFP","04 Jan 2021","5","0.88"
"MFP","04 Jan 2021","6","0.60"
"MFP","04 Jan 2021","7","0.60"
"MFP","04 Jan 2021","8","0.60"
"MFP","04 Jan 2021","9","0.60"
"MFP","04 Jan 2021","10","0.60"
"MFP","04 Jan 2021","11","0.88"
"MFP","04 Jan 2021","12","1.20"
"MFP","04 Jan 2021","13","8.00"
"MFP","04 Jan 2021","14","2.80"
"MFP","04 Jan 2021","15","8.00"
"MFP","04 Jan 2021","16","8.00"
"MFP","04 Jan 2021","17","8.00"
"MFP","04 Jan 2021","18","8.00"
"MFP","04 Jan 2021","19","8.00"
"MFP","04 Jan 2021","20","1.72"
"MFP","04 Jan 2021","21","7.85"
"MFP","04 Jan 2021","22","7.85"
"MFP","04 Jan 2021","23","8.00"
"MFP","04 Jan 2021","24","6.42"
"MFP","04 Jan 2021","25","0.56"
"MFP","04 Jan 2021","26","1.02"
"MFP","04 Jan 2021","27","1.20"
"MFP","04 Jan 2021","28","0.83"
"MFP","04 Jan 2021","29","0.70"
"MFP","04 Jan 2021","30","0.66"
"MFP","04 Jan 2021","31","0.66"
"MFP","04 Jan 2021","32","0.99"
"MFP","04 Jan 2021","33","1.05"
"MFP","04 Jan 2021","34","1.05"
"MFP","04 Jan 2021","35","0.83"
"MFP","04 Jan 2021","36","1.20"
"MFP","04 Jan 2021","37","1.27"
"MFP","04 Jan 2021","38","2.07"
"MFP","04 Jan 2021","39","2.28"
"MFP","04 Jan 2021","40","3.04"
"MFP","04 Jan 2021","41","2.24"
"MFP","04 Jan 2021","42","2.49"
"MFP","04 Jan 2021","43","0.50"
"MFP","04 Jan 2021","44","0.50"
"MFP","04 Jan 2021","45","0.10"
"MFP","04 Jan 2021","46","0.50"
"MFP","04 Jan 2021","47","0.10"
"MFP","04 Jan 2021","48","0.01"
"MFP","05 Jan 2021","1","0.01"
"MFP","05 Jan 2021","2","0.01"
"MFP","05 Jan 2021","3","0.01"
"MFP","05 Jan 2021","4","0.01"
"MFP","05 Jan 2021","5","0.01"
"MFP","05 Jan 2021","6","0.01"
"MFP","05 Jan 2021","7","0.01"
"MFP","05 Jan 2021","8","0.01"
"MFP","05 Jan 2021","9","0.01"
"MFP","05 Jan 2021","10","0.01"
"MFP","05 Jan 2021","11","0.01"
"MFP","05 Jan 2021","12","0.01"
"MFP","05 Jan 2021","13","0.88"
"MFP","05 Jan 2021","14","0.88"
"MFP","05 Jan 2021","15","0.90"
"MFP","05 Jan 2021","16","0.90"
"MFP","05 Jan 2021","17","4.73"
"MFP","05 Jan 2021","18","6.11"
"MFP","05 Jan 2021","19","6.57"
"MFP","05 Jan 2021","20","8.00"
"MFP","05 Jan 2021","21","2.50"
"MFP","05 Jan 2021","22","8.00"
"MFP","05 Jan 2021","23","2.24"
"MFP","05 Jan 2021","24","2.18"
"MFP","05 Jan 2021","25","2.18"
"MFP","05 Jan 2021","26","1.88"
"MFP","05 Jan 2021","27","2.50"
"MFP","05 Jan 2021","28","2.50"
"MFP","05 Jan 2021","29","2.50"
"MFP","05 Jan 2021","30","2.50"
"MFP","05 Jan 2021","31","2.50"
"MFP","05 Jan 2021","32","2.50"
"MFP","05 Jan 2021","33","2.50"
"MFP","05 Jan 2021","34","2.50"
"MFP","05 Jan 2021","35","8.00"
"MFP","05 Jan 2021","36","8.00"
"MFP","05 Jan 2021","37","8.00"
"MFP","05 Jan 2021","38","8.00"
"MFP","05 Jan 2021","39","8.00"
"MFP","05 Jan 2021","40","8.00"
"MFP","05 Jan 2021","41","7.88"
"MFP","05 Jan 2021","42","2.47"
"MFP","05 Jan 2021","43","1.84"
"MFP","05 Jan 2021","44","1.33"
"MFP","05 Jan 2021","45","0.85"
"MFP","05 Jan 2021","46","0.01"
"MFP","05 Jan 2021","47","0.01"
"MFP","05 Jan 2021","48","0.01"
"MFP","06 Jan 2021","1","0.01"
"MFP","06 Jan 2021","2","0.01"
"MFP","06 Jan 2021","3","0.01"
"MFP","06 Jan 2021","4","0.01"
"MFP","06 Jan 2021","5","0.01"
"MFP","06 Jan 2021","6","0.01"
"MFP","06 Jan 2021","7","0.01"
"MFP","06 Jan 2021","8","0.01"
"MFP","06 Jan 2021","9","0.01"
"MFP","06 Jan 2021","10","0.01"
"MFP","06 Jan 2021","11","0.01"
"MFP","06 Jan 2021","12","0.01"
"MFP","06 Jan 2021","13","0.88"
"MFP","06 Jan 2021","14","0.88"
"MFP","06 Jan 2021","15","0.93"
"MFP","06 Jan 2021","16","2.63"
"MFP","06 Jan 2021","17","8.12"
"MFP","06 Jan 2021","18","9.48"
"MFP","06 Jan 2021","19","9.96"
"MFP","06 Jan 2021","20","10.06"
"MFP","06 Jan 2021","21","6.80"
"MFP","06 Jan 2021","22","9.88"
"MFP","06 Jan 2021","23","9.88"
"MFP","06 Jan 2021","24","1.88"
"MFP","06 Jan 2021","25","1.33"
"MFP","06 Jan 2021","26","1.33"
"MFP","06 Jan 2021","27","1.33"
"MFP","06 Jan 2021","28","2.56"
"MFP","06 Jan 2021","29","1.88"
"MFP","06 Jan 2021","30","1.33"
"MFP","06 Jan 2021","31","1.33"
"MFP","06 Jan 2021","32","1.88"
"MFP","06 Jan 2021","33","8.02"
"MFP","06 Jan 2021","34","2.72"
"MFP","06 Jan 2021","35","8.09"
"MFP","06 Jan 2021","36","8.00"
"MFP","06 Jan 2021","37","8.00"
"MFP","06 Jan 2021","38","8.00"
"MFP","06 Jan 2021","39","9.09"
"MFP","06 Jan 2021","40","8.00"
"MFP","06 Jan 2021","41","8.06"
"MFP","06 Jan 2021","42","2.50"
"MFP","06 Jan 2021","43","3.17"
"MFP","06 Jan 2021","44","1.33"
"MFP","06 Jan 2021","45","0.50"
"MFP","06 Jan 2021","46","0.88"
"MFP","06 Jan 2021","47","0.01"
"MFP","06 Jan 2021","48","0.01"
"MFP","07 Jan 2021","1","0.01"
"MFP","07 Jan 2021","2","0.01"
"MFP","07 Jan 2021","3","0.01"
"MFP","07 Jan 2021","4","0.01"
"MFP","07 Jan 2021","5","0.01"
"MFP","07 Jan 2021","6","0.01"
"MFP","07 Jan 2021","7","0.01"
"MFP","07 Jan 2021","8","0.01"
"MFP","07 Jan 2021","9","0.01"
"MFP","07 Jan 2021","10","0.01"
"MFP","07 Jan 2021","11","0.01"
"MFP","07 Jan 2021","12","0.01"
"MFP","07 Jan 2021","13","0.90"
"MFP","07 Jan 2021","14","0.88"
"MFP","07 Jan 2021","15","0.90"
"MFP","07 Jan 2021","16","1.20"
"MFP","07 Jan 2021","17","4.88"
"MFP","07 Jan 2021","18","8.00"
"MFP","07 Jan 2021","19","8.00"
"MFP","07 Jan 2021","20","8.00"
"MFP","07 Jan 2021","21","2.50"
"MFP","07 Jan 2021","22","8.00"
"MFP","07 Jan 2021","23","8.00"
"MFP","07 Jan 2021","24","1.33"
