definition_name,nominal_charging_definition_type,nominal_charging_definition_name,maximum_charging_definition_type,maximum_charging_definition_name,maximum_discharging_definition_type,maximum_discharging_definition_name,maximum_energy_definition_type,maximum_energy_definition_name,departing_energy_definition_type,departing_energy_definition_name
primo_survey_ev_charger_night,schedule,primo_survey_ev_charger_night_nominal,schedule,primo_survey_ev_charger_night_maximum_charging,schedule,primo_survey_ev_charger_night_maximum_discharging,schedule,primo_survey_ev_charger_night_maximum_energy,schedule,primo_survey_ev_charger_night_departing_energy
primo_survey_ev_charger_day,schedule,primo_survey_ev_charger_day_nominal,schedule,primo_survey_ev_charger_day_maximum_charging,schedule,primo_survey_ev_charger_day_maximum_discharging,schedule,primo_survey_ev_charger_day_maximum_energy,schedule,primo_survey_ev_charger_day_departing_energy
