thermal_grid_name,der_name,node_name,der_type,model_name,thermal_power_nominal
singapore_tanjongpagar,1,1,flexible_building,wtp_mix_medium_density_1,-55749261.95
singapore_tanjongpagar,2,2,flexible_building,wtp_mix_medium_density_2,-55749261.95
singapore_tanjongpagar,3,3,flexible_building,wtp_mix_medium_density_3,-83538895.74
singapore_tanjongpagar,4,4,flexible_building,wtp_mix_medium_density_4,-58804905.41
singapore_tanjongpagar,5,5,flexible_building,wtp_mix_medium_density_5,-83538895.74
singapore_tanjongpagar,6,6,flexible_building,wtp_mix_medium_density_6,-37838118.0
singapore_tanjongpagar,7,7,flexible_building,wtp_mix_medium_density_7,-142174061.3
singapore_tanjongpagar,8,8,flexible_building,wtp_mix_medium_density_8,-67460237.45
singapore_tanjongpagar,9,9,flexible_building,wtp_mix_medium_density_9,-44973359.84
singapore_tanjongpagar,10,10,flexible_building,wtp_mix_medium_density_10,-67460237.45
singapore_tanjongpagar,11,11,flexible_building,wtp_mix_medium_density_11,-44973474.76
singapore_tanjongpagar,12,12,flexible_building,wtp_mix_medium_density_12,-33730061.27
singapore_tanjongpagar,13,13,flexible_building,wtp_mix_medium_density_13,-44973474.76
singapore_tanjongpagar,14,14,flexible_building,wtp_mix_medium_density_14,-40147506.98
singapore_tanjongpagar,15,15,flexible_building,wtp_mix_medium_density_15,-40238550.29
singapore_tanjongpagar,16,16,flexible_building,wtp_mix_medium_density_16,-44712350.15
singapore_tanjongpagar,17,17,flexible_building,wtp_mix_medium_density_17,-43805689.52
singapore_tanjongpagar,18,18,flexible_building,wtp_mix_medium_density_18,-52647338.68
singapore_tanjongpagar,19,19,flexible_building,wtp_mix_medium_density_19,-41136815.27
singapore_tanjongpagar,20,20,flexible_building,wtp_mix_medium_density_20,-49066485.9
singapore_tanjongpagar,21,21,flexible_building,wtp_mix_medium_density_21,-112386697.2
singapore_tanjongpagar,22,22,flexible_building,wtp_mix_medium_density_22,-126522456.1
