building_name,zone_name,direction_name,surface_name,surface_type,surface_area,surface_comment
paper_2021_troitzsch_admm_dlmp_building_2,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,46333.0,
paper_2021_troitzsch_admm_dlmp_building_3,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,67446.6,
paper_2021_troitzsch_admm_dlmp_building_4,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,47598.4,
paper_2021_troitzsch_admm_dlmp_building_5,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,67446.6,
paper_2021_troitzsch_admm_dlmp_building_6,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,30971.8,
paper_2021_troitzsch_admm_dlmp_building_7,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,111331.2,
paper_2021_troitzsch_admm_dlmp_building_8,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,51819.7,
paper_2021_troitzsch_admm_dlmp_building_9,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,34546.4,
paper_2021_troitzsch_admm_dlmp_building_10,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,51819.7,
paper_2021_troitzsch_admm_dlmp_building_11,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,34546.5,
paper_2021_troitzsch_admm_dlmp_building_12,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,25909.8,
paper_2021_troitzsch_admm_dlmp_building_13,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,34546.5,
paper_2021_troitzsch_admm_dlmp_building_14,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,32532.3,
paper_2021_troitzsch_admm_dlmp_building_15,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,32609.5,
paper_2021_troitzsch_admm_dlmp_building_16,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,36407.7,
paper_2021_troitzsch_admm_dlmp_building_17,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,35637.0,
paper_2021_troitzsch_admm_dlmp_building_18,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,43662.8,
paper_2021_troitzsch_admm_dlmp_building_19,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,33371.1,
paper_2021_troitzsch_admm_dlmp_building_20,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,40115.0,
paper_2021_troitzsch_admm_dlmp_building_21,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,93430.9,
paper_2021_troitzsch_admm_dlmp_building_22,zone_1,horizontal,surface_exterior_roof,paper_2021_troitzsch_admm_dlmp_roof,107844.9,
