"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","03 Apr 2021","36","7.57"
"MFP","03 Apr 2021","37","8.49"
"MFP","03 Apr 2021","38","15.00"
"MFP","03 Apr 2021","39","15.97"
"MFP","03 Apr 2021","40","15.97"
"MFP","03 Apr 2021","41","15.88"
"MFP","03 Apr 2021","42","15.00"
"MFP","03 Apr 2021","43","10.51"
"MFP","03 Apr 2021","44","9.99"
"MFP","03 Apr 2021","45","8.00"
"MFP","03 Apr 2021","46","5.32"
"MFP","03 Apr 2021","47","5.72"
"MFP","03 Apr 2021","48","6.47"
"MFP","04 Apr 2021","1","8.00"
"MFP","04 Apr 2021","2","3.53"
"MFP","04 Apr 2021","3","1.28"
"MFP","04 Apr 2021","4","0.50"
"MFP","04 Apr 2021","5","0.50"
"MFP","04 Apr 2021","6","0.50"
"MFP","04 Apr 2021","7","0.50"
"MFP","04 Apr 2021","8","0.01"
"MFP","04 Apr 2021","9","0.01"
"MFP","04 Apr 2021","10","0.50"
"MFP","04 Apr 2021","11","0.50"
"MFP","04 Apr 2021","12","1.20"
"MFP","04 Apr 2021","13","2.80"
"MFP","04 Apr 2021","14","1.88"
"MFP","04 Apr 2021","15","8.00"
"MFP","04 Apr 2021","16","10.35"
"MFP","04 Apr 2021","17","9.88"
"MFP","04 Apr 2021","18","10.59"
"MFP","04 Apr 2021","19","10.00"
"MFP","04 Apr 2021","20","9.88"
"MFP","04 Apr 2021","21","13.82"
"MFP","04 Apr 2021","22","5.14"
"MFP","04 Apr 2021","23","6.00"
"MFP","04 Apr 2021","24","6.50"
"MFP","04 Apr 2021","25","6.70"
"MFP","04 Apr 2021","26","7.15"
"MFP","04 Apr 2021","27","7.69"
"MFP","04 Apr 2021","28","7.26"
"MFP","04 Apr 2021","29","7.08"
"MFP","04 Apr 2021","30","5.91"
"MFP","04 Apr 2021","31","5.63"
"MFP","04 Apr 2021","32","5.06"
"MFP","04 Apr 2021","33","5.06"
"MFP","04 Apr 2021","34","5.05"
"MFP","04 Apr 2021","35","4.82"
"MFP","04 Apr 2021","36","6.05"
"MFP","04 Apr 2021","37","8.05"
"MFP","04 Apr 2021","38","8.00"
"MFP","04 Apr 2021","39","1.87"
"MFP","04 Apr 2021","40","2.34"
"MFP","04 Apr 2021","41","3.03"
"MFP","04 Apr 2021","42","4.69"
"MFP","04 Apr 2021","43","13.33"
"MFP","04 Apr 2021","44","3.45"
"MFP","04 Apr 2021","45","3.44"
"MFP","04 Apr 2021","46","1.79"
"MFP","04 Apr 2021","47","1.65"
"MFP","04 Apr 2021","48","1.33"
