"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","04 May 2021","2","1.20"
"MFP","04 May 2021","3","1.20"
"MFP","04 May 2021","4","1.19"
"MFP","04 May 2021","5","0.56"
"MFP","04 May 2021","6","0.01"
"MFP","04 May 2021","7","0.01"
"MFP","04 May 2021","8","0.01"
"MFP","04 May 2021","9","0.01"
"MFP","04 May 2021","10","0.50"
"MFP","04 May 2021","11","0.50"
"MFP","04 May 2021","12","3.36"
"MFP","04 May 2021","13","4.07"
"MFP","04 May 2021","14","9.27"
"MFP","04 May 2021","15","4.17"
"MFP","04 May 2021","16","14.08"
"MFP","04 May 2021","17","9.35"
"MFP","04 May 2021","18","8.89"
"MFP","04 May 2021","19","3.27"
"MFP","04 May 2021","20","40.99"
"MFP","04 May 2021","21","41.77"
"MFP","04 May 2021","22","30.11"
"MFP","04 May 2021","23","2.00"
"MFP","04 May 2021","24","1.20"
"MFP","04 May 2021","25","0.92"
"MFP","04 May 2021","26","0.60"
"MFP","04 May 2021","27","0.92"
"MFP","04 May 2021","28","0.99"
"MFP","04 May 2021","29","1.00"
"MFP","04 May 2021","30","0.97"
"MFP","04 May 2021","31","1.20"
"MFP","04 May 2021","32","1.20"
"MFP","04 May 2021","33","0.88"
"MFP","04 May 2021","34","1.36"
"MFP","04 May 2021","35","1.36"
"MFP","04 May 2021","36","2.26"
"MFP","04 May 2021","37","8.00"
"MFP","04 May 2021","38","8.00"
"MFP","04 May 2021","39","1.20"
"MFP","04 May 2021","40","1.10"
"MFP","04 May 2021","41","1.00"
"MFP","04 May 2021","42","0.88"
"MFP","04 May 2021","43","0.88"
"MFP","04 May 2021","44","1.00"
"MFP","04 May 2021","45","1.20"
"MFP","04 May 2021","46","10.83"
"MFP","04 May 2021","47","9.00"
"MFP","04 May 2021","48","8.88"
"MFP","05 May 2021","1","0.90"
"MFP","05 May 2021","2","0.50"
"MFP","05 May 2021","3","0.01"
"MFP","05 May 2021","4","0.01"
"MFP","05 May 2021","5","0.01"
"MFP","05 May 2021","6","0.01"
"MFP","05 May 2021","7","0.01"
"MFP","05 May 2021","8","0.01"
"MFP","05 May 2021","9","0.01"
"MFP","05 May 2021","10","0.01"
"MFP","05 May 2021","11","0.01"
"MFP","05 May 2021","12","0.90"
"MFP","05 May 2021","13","1.10"
"MFP","05 May 2021","14","1.10"
"MFP","05 May 2021","15","1.20"
"MFP","05 May 2021","16","1.33"
"MFP","05 May 2021","17","1.33"
"MFP","05 May 2021","18","1.20"
"MFP","05 May 2021","19","1.00"
"MFP","05 May 2021","20","0.60"
"MFP","05 May 2021","21","0.50"
"MFP","05 May 2021","22","0.50"
"MFP","05 May 2021","23","0.50"
"MFP","05 May 2021","24","0.50"
"MFP","05 May 2021","25","0.50"
"MFP","05 May 2021","26","0.50"
"MFP","05 May 2021","27","0.69"
"MFP","05 May 2021","28","0.60"
"MFP","05 May 2021","29","75.55"
"MFP","05 May 2021","30","184.99"
"MFP","05 May 2021","31","184.99"
"MFP","05 May 2021","32","184.99"
"MFP","05 May 2021","33","184.99"
"MFP","05 May 2021","34","184.99"
"MFP","05 May 2021","35","184.99"
"MFP","05 May 2021","36","13.01"
"MFP","05 May 2021","37","13.41"
"MFP","05 May 2021","38","1.00"
"MFP","05 May 2021","39","1.00"
"MFP","05 May 2021","40","1.00"
"MFP","05 May 2021","41","0.88"
"MFP","05 May 2021","42","0.50"
"MFP","05 May 2021","43","0.10"
"MFP","05 May 2021","44","0.60"
"MFP","05 May 2021","45","0.88"
"MFP","05 May 2021","46","3.49"
"MFP","05 May 2021","47","1.00"
"MFP","05 May 2021","48","0.90"
"MFP","06 May 2021","1","6.66"
"MFP","06 May 2021","2","1.20"
"MFP","06 May 2021","3","1.20"
"MFP","06 May 2021","4","0.62"
"MFP","06 May 2021","5","0.50"
"MFP","06 May 2021","6","0.50"
"MFP","06 May 2021","7","0.01"
"MFP","06 May 2021","8","0.01"
"MFP","06 May 2021","9","0.01"
"MFP","06 May 2021","10","0.01"
