"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","03 Mar 2021","36","25.12"
"MFP","03 Mar 2021","37","20.00"
"MFP","03 Mar 2021","38","20.38"
"MFP","03 Mar 2021","39","33.27"
"MFP","03 Mar 2021","40","26.22"
"MFP","03 Mar 2021","41","23.05"
"MFP","03 Mar 2021","42","184.99"
"MFP","03 Mar 2021","43","51.87"
"MFP","03 Mar 2021","44","183.00"
"MFP","03 Mar 2021","45","34.88"
"MFP","03 Mar 2021","46","10.49"
"MFP","03 Mar 2021","47","5.86"
"MFP","03 Mar 2021","48","1.28"
"MFP","04 Mar 2021","1","7.48"
"MFP","04 Mar 2021","2","1.28"
"MFP","04 Mar 2021","3","1.20"
"MFP","04 Mar 2021","4","0.90"
"MFP","04 Mar 2021","5","0.90"
"MFP","04 Mar 2021","6","0.90"
"MFP","04 Mar 2021","7","0.90"
"MFP","04 Mar 2021","8","0.90"
"MFP","04 Mar 2021","9","0.90"
"MFP","04 Mar 2021","10","0.90"
"MFP","04 Mar 2021","11","1.00"
"MFP","04 Mar 2021","12","2.91"
"MFP","04 Mar 2021","13","8.00"
"MFP","04 Mar 2021","14","8.00"
"MFP","04 Mar 2021","15","8.00"
"MFP","04 Mar 2021","16","13.33"
"MFP","04 Mar 2021","17","14.43"
"MFP","04 Mar 2021","18","16.13"
"MFP","04 Mar 2021","19","24.10"
"MFP","04 Mar 2021","20","34.91"
"MFP","04 Mar 2021","21","50.50"
"MFP","04 Mar 2021","22","50.00"
"MFP","04 Mar 2021","23","53.91"
"MFP","04 Mar 2021","24","16.88"
"MFP","04 Mar 2021","25","8.00"
"MFP","04 Mar 2021","26","8.00"
"MFP","04 Mar 2021","27","11.38"
"MFP","04 Mar 2021","28","8.00"
"MFP","04 Mar 2021","29","8.00"
"MFP","04 Mar 2021","30","4.90"
"MFP","04 Mar 2021","31","10.07"
"MFP","04 Mar 2021","32","11.61"
"MFP","04 Mar 2021","33","10.15"
"MFP","04 Mar 2021","34","8.00"
"MFP","04 Mar 2021","35","9.88"
"MFP","04 Mar 2021","36","8.00"
"MFP","04 Mar 2021","37","22.88"
"MFP","04 Mar 2021","38","17.00"
"MFP","04 Mar 2021","39","8.00"
"MFP","04 Mar 2021","40","8.00"
"MFP","04 Mar 2021","41","8.02"
"MFP","04 Mar 2021","42","2.00"
"MFP","04 Mar 2021","43","1.28"
"MFP","04 Mar 2021","44","8.70"
"MFP","04 Mar 2021","45","22.72"
"MFP","04 Mar 2021","46","13.10"
"MFP","04 Mar 2021","47","8.00"
"MFP","04 Mar 2021","48","6.79"
"MFP","05 Mar 2021","1","1.75"
"MFP","05 Mar 2021","2","1.00"
"MFP","05 Mar 2021","3","0.90"
"MFP","05 Mar 2021","4","0.90"
"MFP","05 Mar 2021","5","0.90"
"MFP","05 Mar 2021","6","0.90"
"MFP","05 Mar 2021","7","0.90"
"MFP","05 Mar 2021","8","0.90"
"MFP","05 Mar 2021","9","0.90"
"MFP","05 Mar 2021","10","0.90"
"MFP","05 Mar 2021","11","0.90"
"MFP","05 Mar 2021","12","1.28"
"MFP","05 Mar 2021","13","3.50"
"MFP","05 Mar 2021","14","3.17"
"MFP","05 Mar 2021","15","8.97"
"MFP","05 Mar 2021","16","12.51"
"MFP","05 Mar 2021","17","9.19"
"MFP","05 Mar 2021","18","9.99"
"MFP","05 Mar 2021","19","9.88"
"MFP","05 Mar 2021","20","8.00"
"MFP","05 Mar 2021","21","8.00"
"MFP","05 Mar 2021","22","3.81"
"MFP","05 Mar 2021","23","3.50"
"MFP","05 Mar 2021","24","3.50"
"MFP","05 Mar 2021","25","2.50"
"MFP","05 Mar 2021","26","2.50"
"MFP","05 Mar 2021","27","8.00"
"MFP","05 Mar 2021","28","8.00"
"MFP","05 Mar 2021","29","8.00"
"MFP","05 Mar 2021","30","11.62"
"MFP","05 Mar 2021","31","8.00"
"MFP","05 Mar 2021","32","11.93"
"MFP","05 Mar 2021","33","8.00"
"MFP","05 Mar 2021","34","12.61"
"MFP","05 Mar 2021","35","12.12"
"MFP","05 Mar 2021","36","8.00"
"MFP","05 Mar 2021","37","12.12"
"MFP","05 Mar 2021","38","8.00"
"MFP","05 Mar 2021","39","8.00"
"MFP","05 Mar 2021","40","8.00"
"MFP","05 Mar 2021","41","8.00"
"MFP","05 Mar 2021","42","14.60"
"MFP","05 Mar 2021","43","2.60"
"MFP","05 Mar 2021","44","9.88"
"MFP","05 Mar 2021","45","1.20"
"MFP","05 Mar 2021","46","33.33"
"MFP","05 Mar 2021","47","15.88"
"MFP","05 Mar 2021","48","10.12"
"MFP","06 Mar 2021","1","8.00"
"MFP","06 Mar 2021","2","6.05"
"MFP","06 Mar 2021","3","1.20"
"MFP","06 Mar 2021","4","0.90"
"MFP","06 Mar 2021","5","0.90"
"MFP","06 Mar 2021","6","1.10"
"MFP","06 Mar 2021","7","1.00"
"MFP","06 Mar 2021","8","0.90"
"MFP","06 Mar 2021","9","0.90"
"MFP","06 Mar 2021","10","0.90"
"MFP","06 Mar 2021","11","1.00"
"MFP","06 Mar 2021","12","1.33"
"MFP","06 Mar 2021","13","9.88"
"MFP","06 Mar 2021","14","14.48"
"MFP","06 Mar 2021","15","12.71"
"MFP","06 Mar 2021","16","8.00"
"MFP","06 Mar 2021","17","13.33"
"MFP","06 Mar 2021","18","13.33"
"MFP","06 Mar 2021","19","13.33"
"MFP","06 Mar 2021","20","19.49"
"MFP","06 Mar 2021","21","184.90"
"MFP","06 Mar 2021","22","28.99"
"MFP","06 Mar 2021","23","183.00"
"MFP","06 Mar 2021","24","37.09"
"MFP","06 Mar 2021","25","16.99"
"MFP","06 Mar 2021","26","16.99"
"MFP","06 Mar 2021","27","27.09"
"MFP","06 Mar 2021","28","25.69"
"MFP","06 Mar 2021","29","25.68"
"MFP","06 Mar 2021","30","25.33"
"MFP","06 Mar 2021","31","25.18"
"MFP","06 Mar 2021","32","19.65"
"MFP","06 Mar 2021","33","16.59"
"MFP","06 Mar 2021","34","11.02"
"MFP","06 Mar 2021","35","11.02"
"MFP","06 Mar 2021","36","10.36"
"MFP","06 Mar 2021","37","24.03"
"MFP","06 Mar 2021","38","27.77"
"MFP","06 Mar 2021","39","60.00"
"MFP","06 Mar 2021","40","60.28"
"MFP","06 Mar 2021","41","59.27"
"MFP","06 Mar 2021","42","58.28"
"MFP","06 Mar 2021","43","18.57"
"MFP","06 Mar 2021","44","16.18"
"MFP","06 Mar 2021","45","4.20"
"MFP","06 Mar 2021","46","1.20"
"MFP","06 Mar 2021","47","1.20"
"MFP","06 Mar 2021","48","1.00"
"MFP","07 Mar 2021","1","12.12"
"MFP","07 Mar 2021","2","4.80"
"MFP","07 Mar 2021","3","5.30"
"MFP","07 Mar 2021","4","5.30"
"MFP","07 Mar 2021","5","4.29"
"MFP","07 Mar 2021","6","4.45"
"MFP","07 Mar 2021","7","0.90"
"MFP","07 Mar 2021","8","0.90"
"MFP","07 Mar 2021","9","0.90"
"MFP","07 Mar 2021","10","0.90"
"MFP","07 Mar 2021","11","1.00"
"MFP","07 Mar 2021","12","3.95"
"MFP","07 Mar 2021","13","8.00"
"MFP","07 Mar 2021","14","8.00"
"MFP","07 Mar 2021","15","8.00"
"MFP","07 Mar 2021","16","8.00"
"MFP","07 Mar 2021","17","20.14"
"MFP","07 Mar 2021","18","24.04"
"MFP","07 Mar 2021","19","13.33"
"MFP","07 Mar 2021","20","9.09"
"MFP","07 Mar 2021","21","8.70"
"MFP","07 Mar 2021","22","8.49"
"MFP","07 Mar 2021","23","2.80"
"MFP","07 Mar 2021","24","2.50"
"MFP","07 Mar 2021","25","2.50"
"MFP","07 Mar 2021","26","2.50"
"MFP","07 Mar 2021","27","8.70"
"MFP","07 Mar 2021","28","8.63"
"MFP","07 Mar 2021","29","8.74"
"MFP","07 Mar 2021","30","4.50"
"MFP","07 Mar 2021","31","2.80"
"MFP","07 Mar 2021","32","2.36"
"MFP","07 Mar 2021","33","2.00"
"MFP","07 Mar 2021","34","8.49"
"MFP","07 Mar 2021","35","3.50"
"MFP","07 Mar 2021","36","8.49"
"MFP","07 Mar 2021","37","12.12"
"MFP","07 Mar 2021","38","10.51"
"MFP","07 Mar 2021","39","9.27"
"MFP","07 Mar 2021","40","12.12"
"MFP","07 Mar 2021","41","11.37"
"MFP","07 Mar 2021","42","11.37"
"MFP","07 Mar 2021","43","5.84"
"MFP","07 Mar 2021","44","1.28"
"MFP","07 Mar 2021","45","1.33"
"MFP","07 Mar 2021","46","1.20"
"MFP","07 Mar 2021","47","1.20"
"MFP","07 Mar 2021","48","1.00"
"MFP","08 Mar 2021","1","1.00"
"MFP","08 Mar 2021","2","0.60"
"MFP","08 Mar 2021","3","0.50"
"MFP","08 Mar 2021","4","1.08"
"MFP","08 Mar 2021","5","1.20"
"MFP","08 Mar 2021","6","1.20"
"MFP","08 Mar 2021","7","1.20"
"MFP","08 Mar 2021","8","1.20"
"MFP","08 Mar 2021","9","1.00"
"MFP","08 Mar 2021","10","1.20"
"MFP","08 Mar 2021","11","1.20"
"MFP","08 Mar 2021","12","1.28"
"MFP","08 Mar 2021","13","1.30"
"MFP","08 Mar 2021","14","1.80"
"MFP","08 Mar 2021","15","5.50"
"MFP","08 Mar 2021","16","12.12"
"MFP","08 Mar 2021","17","42.13"
"MFP","08 Mar 2021","18","72.96"
"MFP","08 Mar 2021","19","121.99"
"MFP","08 Mar 2021","20","123.99"
"MFP","08 Mar 2021","21","116.96"
"MFP","08 Mar 2021","22","175.13"
"MFP","08 Mar 2021","23","111.33"
"MFP","08 Mar 2021","24","107.99"
"MFP","08 Mar 2021","25","107.99"
