"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","03 Sep 2021","36","19.22"
"MFP","03 Sep 2021","37","123.45"
"MFP","03 Sep 2021","38","48.68"
"MFP","03 Sep 2021","39","34.88"
"MFP","03 Sep 2021","40","34.88"
"MFP","03 Sep 2021","41","19.11"
"MFP","03 Sep 2021","42","16.45"
"MFP","03 Sep 2021","43","12.12"
"MFP","03 Sep 2021","44","12.12"
"MFP","03 Sep 2021","45","13.33"
"MFP","03 Sep 2021","46","9.88"
"MFP","03 Sep 2021","47","19.01"
"MFP","03 Sep 2021","48","15.88"
"MFP","04 Sep 2021","1","9.99"
"MFP","04 Sep 2021","2","1.20"
"MFP","04 Sep 2021","3","1.19"
"MFP","04 Sep 2021","4","0.50"
"MFP","04 Sep 2021","5","0.50"
"MFP","04 Sep 2021","6","0.50"
"MFP","04 Sep 2021","7","0.50"
"MFP","04 Sep 2021","8","0.10"
"MFP","04 Sep 2021","9","0.05"
"MFP","04 Sep 2021","10","0.09"
"MFP","04 Sep 2021","11","0.50"
"MFP","04 Sep 2021","12","3.73"
"MFP","04 Sep 2021","13","10.16"
"MFP","04 Sep 2021","14","14.83"
"MFP","04 Sep 2021","15","19.57"
"MFP","04 Sep 2021","16","23.98"
"MFP","04 Sep 2021","17","26.72"
"MFP","04 Sep 2021","18","18.88"
"MFP","04 Sep 2021","19","13.33"
"MFP","04 Sep 2021","20","12.32"
"MFP","04 Sep 2021","21","12.12"
"MFP","04 Sep 2021","22","11.68"
"MFP","04 Sep 2021","23","11.89"
"MFP","04 Sep 2021","24","6.97"
"MFP","04 Sep 2021","25","7.06"
"MFP","04 Sep 2021","26","7.21"
"MFP","04 Sep 2021","27","10.32"
"MFP","04 Sep 2021","28","9.88"
"MFP","04 Sep 2021","29","6.24"
"MFP","04 Sep 2021","30","9.55"
"MFP","04 Sep 2021","31","2.87"
"MFP","04 Sep 2021","32","6.97"
"MFP","04 Sep 2021","33","6.97"
"MFP","04 Sep 2021","34","12.12"
"MFP","04 Sep 2021","35","12.12"
"MFP","04 Sep 2021","36","12.42"
"MFP","04 Sep 2021","37","33.33"
"MFP","04 Sep 2021","38","18.88"
"MFP","04 Sep 2021","39","19.51"
"MFP","04 Sep 2021","40","15.02"
"MFP","04 Sep 2021","41","13.33"
"MFP","04 Sep 2021","42","11.89"
"MFP","04 Sep 2021","43","10.89"
"MFP","04 Sep 2021","44","11.49"
"MFP","04 Sep 2021","45","7.15"
"MFP","04 Sep 2021","46","2.62"
"MFP","04 Sep 2021","47","1.70"
"MFP","04 Sep 2021","48","1.20"
"MFP","05 Sep 2021","1","1.28"
"MFP","05 Sep 2021","2","0.88"
"MFP","05 Sep 2021","3","0.01"
