thermal_grid_name,der_name,node_name,der_type,der_model_name,thermal_power_nominal,in_service
paper_2021_troitzsch,1,1,flexible_building,tanjongpagar_building_1,-32936377.15,1
paper_2021_troitzsch,2,2,flexible_building,tanjongpagar_building_2,-32936377.15,1
paper_2021_troitzsch,3,3,flexible_building,tanjongpagar_building_3,-53580309.59,1
paper_2021_troitzsch,4,4,flexible_building,tanjongpagar_building_4,-37431400.6,1
paper_2021_troitzsch,5,5,flexible_building,tanjongpagar_building_5,-53580309.59,1
paper_2021_troitzsch,6,6,flexible_building,tanjongpagar_building_6,-23316383.46,1
paper_2021_troitzsch,7,7,flexible_building,tanjongpagar_building_7,-49733402.86,1
paper_2021_troitzsch,8,8,flexible_building,tanjongpagar_building_8,-24477978.63,1
paper_2021_troitzsch,9,9,flexible_building,tanjongpagar_building_9,-16318571.43,1
paper_2021_troitzsch,10,10,flexible_building,tanjongpagar_building_10,-24477978.63,1
paper_2021_troitzsch,11,11,flexible_building,tanjongpagar_building_11,-16318601.86,1
paper_2021_troitzsch,12,12,flexible_building,tanjongpagar_building_12,-12238974.1,1
paper_2021_troitzsch,13,13,flexible_building,tanjongpagar_building_13,-16318601.86,1
paper_2021_troitzsch,14,14,flexible_building,tanjongpagar_building_14,-25472451.81,1
paper_2021_troitzsch,15,15,flexible_building,tanjongpagar_building_15,-25522310.75,1
paper_2021_troitzsch,16,16,flexible_building,tanjongpagar_building_16,-27968881.6,1
paper_2021_troitzsch,17,17,flexible_building,tanjongpagar_building_17,-27474161.46,1
paper_2021_troitzsch,18,18,flexible_building,tanjongpagar_building_18,-31281569.5,1
paper_2021_troitzsch,19,19,flexible_building,tanjongpagar_building_19,-26014754.48,1
paper_2021_troitzsch,20,20,flexible_building,tanjongpagar_building_20,-30337763.19,1
paper_2021_troitzsch,21,21,flexible_building,tanjongpagar_building_21,-66346359.78,1
paper_2021_troitzsch,22,22,flexible_building,tanjongpagar_building_22,-70033270.55,1
paper_2021_troitzsch,23,22,cooling_plant,cooling_plant_singapore,cooling_plant_thermal_power,cooling_plant_in_service
