electric_grid_name,der_name,der_type,der_model_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,active_power_nominal,reactive_power_nominal
singapore_downtowncore,47345212,flexible_building,47345212,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,47345213,flexible_building,47345213,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,47345214,flexible_building,47345214,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,47345217,flexible_building,47345217,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,47345219,flexible_building,47345219,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,47345221,flexible_building,47345221,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,47345222,flexible_building,47345222,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,47415359,flexible_building,47415359,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,47415360,flexible_building,47415360,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,47415361,flexible_building,47415361,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,48035153,flexible_building,48035153,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,48126413,flexible_building,48126413,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,48178719,flexible_building,48178719,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,48948265,flexible_building,48948265,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,49890750,flexible_building,49890750,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,49890775,flexible_building,49890775,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,51761904,flexible_building,51761904,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,95762799,flexible_building,95762799,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,97582570,flexible_building,97582570,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,97585680,flexible_building,97585680,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,97666815,flexible_building,97666815,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,97666816,flexible_building,97666816,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,97666817,flexible_building,97666817,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,97666818,flexible_building,97666818,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,97666910,flexible_building,97666910,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,99347079,flexible_building,99347079,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,99348745,flexible_building,99348745,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,102938119,flexible_building,102938119,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,103110145,flexible_building,103110145,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,103110147,flexible_building,103110147,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,106193385,flexible_building,106193385,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,106193386,flexible_building,106193386,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,106193387,flexible_building,106193387,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,106193388,flexible_building,106193388,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,106193390,flexible_building,106193390,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,106193391,flexible_building,106193391,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,116800998,flexible_building,116800998,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,116801003,flexible_building,116801003,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,116801004,flexible_building,116801004,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,116801907,flexible_building,116801907,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,116905040,flexible_building,116905040,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,116905041,flexible_building,116905041,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,116905042,flexible_building,116905042,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,116905045,flexible_building,116905045,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,117041257,flexible_building,117041257,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,117042160,flexible_building,117042160,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,117052184,flexible_building,117052184,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,117052185,flexible_building,117052185,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,117052186,flexible_building,117052186,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,117055140,flexible_building,117055140,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,117058629,flexible_building,117058629,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,117058639,flexible_building,117058639,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,121565109,flexible_building,121565109,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,126520579,flexible_building,126520579,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,126520582,flexible_building,126520582,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,146335667,flexible_building,146335667,1,1,1,1,wye,-2414989.499,-793768.6625
singapore_downtowncore,152598430,flexible_building,152598430,1,1,1,1,wye,-2414989.499,-793768.6625
