transformer_type,resistance_percentage,reactance_percentage,tap_maximum_voltage_per_unit,tap_minimum_voltage_per_unit
default_transformer,0.55,2.0,1.1,0.9
lossless_transformer,0.0001,0.0001,1.1,0.9
