model_name,time_period,active_power,reactive_power
residential_landed,01T08:30,0.477646842,0.477646842
residential_landed,01T09:00,0.540929655,0.540929655
residential_landed,01T09:30,0.51602207,0.51602207
residential_landed,01T10:00,0.544716861,0.544716861
residential_landed,01T10:30,0.530242143,0.530242143
residential_landed,01T11:00,0.389804076,0.389804076
residential_landed,01T11:30,0.301983753,0.301983753
residential_landed,01T12:00,0.252656765,0.252656765
residential_landed,01T12:30,0.223935711,0.223935711
residential_landed,01T13:00,0.18824482,0.18824482
residential_landed,01T13:30,0.190118032,0.190118032
residential_landed,01T14:00,0.232201011,0.232201011
residential_landed,01T14:30,0.29151058,0.29151058
residential_landed,01T15:00,0.265201091,0.265201091
residential_landed,01T15:30,0.238112259,0.238112259
residential_landed,01T16:00,0.22828892,0.22828892
residential_landed,01T16:30,0.270041362,0.270041362
residential_landed,01T17:00,0.224637079,0.224637079
residential_landed,01T17:30,0.210899757,0.210899757
residential_landed,01T18:00,0.20226017,0.20226017
residential_landed,01T18:30,0.242031771,0.242031771
residential_landed,01T19:00,0.322789979,0.322789979
residential_landed,01T19:30,0.389531421,0.389531421
residential_landed,01T20:00,0.503127504,0.503127504
residential_landed,01T20:30,0.490921727,0.490921727
residential_landed,01T21:00,0.480821072,0.480821072
residential_landed,01T21:30,0.511426212,0.511426212
residential_landed,01T22:00,0.646787241,0.646787241
residential_landed,01T22:30,0.821962086,0.821962086
residential_landed,01T23:00,0.873985657,0.873985657
residential_landed,01T23:30,0.959231019,0.959231019
residential_landed,06T00:00,0.964412535,0.964412535
residential_landed,06T00:30,1,1
residential_landed,06T01:00,0.824122985,0.824122985
residential_landed,06T01:30,0.872206965,0.872206965
residential_landed,06T02:00,0.794972019,0.794972019
residential_landed,06T02:30,0.724481858,0.724481858
residential_landed,06T03:00,0.666420452,0.666420452
residential_landed,06T03:30,0.546862004,0.546862004
residential_landed,06T04:00,0.537921314,0.537921314
residential_landed,06T04:30,0.472509612,0.472509612
residential_landed,06T05:00,0.464607682,0.464607682
residential_landed,06T05:30,0.490410181,0.490410181
residential_landed,06T06:00,0.463894637,0.463894637
residential_landed,06T06:30,0.435613644,0.435613644
residential_landed,06T07:00,0.467256436,0.467256436
residential_landed,06T07:30,0.455052515,0.455052515
residential_landed,06T08:00,0.513273019,0.513273019
residential_landed,06T08:30,0.406023786,0.406023786
residential_landed,06T09:00,0.447431681,0.447431681
residential_landed,06T09:30,0.418492821,0.418492821
residential_landed,06T10:00,0.504250899,0.504250899
residential_landed,06T10:30,0.655151155,0.655151155
residential_landed,06T11:00,0.590726507,0.590726507
residential_landed,06T11:30,0.580155359,0.580155359
residential_landed,06T12:00,0.516162949,0.516162949
residential_landed,06T12:30,0.518787621,0.518787621
residential_landed,06T13:00,0.563460916,0.563460916
residential_landed,06T13:30,0.366758208,0.366758208
residential_landed,06T14:00,0.455833032,0.455833032
residential_landed,06T14:30,0.455202717,0.455202717
residential_landed,06T15:00,0.508069886,0.508069886
residential_landed,06T15:30,0.455088384,0.455088384
residential_landed,06T16:00,0.591947073,0.591947073
residential_landed,06T16:30,0.701339491,0.701339491
residential_landed,06T17:00,0.536560237,0.536560237
residential_landed,06T17:30,0.453956262,0.453956262
residential_landed,06T18:00,0.464953719,0.464953719
residential_landed,06T18:30,0.371934584,0.371934584
residential_landed,06T19:00,0.358907117,0.358907117
residential_landed,06T19:30,0.393474045,0.393474045
residential_landed,06T20:00,0.583665262,0.583665262
residential_landed,06T20:30,0.643341217,0.643341217
residential_landed,06T21:00,0.929146157,0.929146157
residential_landed,06T21:30,0.928268302,0.928268302
residential_landed,06T22:00,0.967180828,0.967180828
residential_landed,06T22:30,0.978763185,0.978763185
residential_landed,06T23:00,0.887816798,0.887816798
residential_landed,06T23:30,0.994121933,0.994121933
cigre_residential,01T00:00,0.25363,0.25363
cigre_residential,01T00:30,0.22059,0.22059
cigre_residential,01T01:00,0.201846666666667,0.201846666666667
cigre_residential,01T01:30,0.189506666666667,0.189506666666667
cigre_residential,01T02:00,0.186083333333333,0.186083333333333
cigre_residential,01T02:30,0.1826275,0.1826275
cigre_residential,01T03:00,0.1860525,0.1860525
cigre_residential,01T03:30,0.1886475,0.1886475
cigre_residential,01T04:00,0.182986666666667,0.182986666666667
cigre_residential,01T04:30,0.204462,0.204462
cigre_residential,01T05:00,0.220476666666667,0.220476666666667
cigre_residential,01T05:30,0.283625714285714,0.283625714285714
cigre_residential,01T06:00,0.389161428571429,0.389161428571429
cigre_residential,01T06:30,0.49334,0.49334
cigre_residential,01T07:00,0.576531428571429,0.576531428571429
cigre_residential,01T07:30,0.61639,0.61639
cigre_residential,01T08:00,0.632506666666667,0.632506666666667
cigre_residential,01T08:30,0.668252,0.668252
cigre_residential,01T09:00,0.63263,0.63263
cigre_residential,01T09:30,0.647355,0.647355
cigre_residential,01T10:00,0.663796666666667,0.663796666666667
cigre_residential,01T10:30,0.629674,0.629674
cigre_residential,01T11:00,0.6278175,0.6278175
cigre_residential,01T11:30,0.667334,0.667334
cigre_residential,01T12:00,0.72834,0.72834
cigre_residential,01T12:30,0.718356,0.718356
cigre_residential,01T13:00,0.654016666666667,0.654016666666667
cigre_residential,01T13:30,0.58793,0.58793
cigre_residential,01T14:00,0.5524925,0.5524925
cigre_residential,01T14:30,0.50459,0.50459
cigre_residential,01T15:00,0.490665,0.490665
cigre_residential,01T15:30,0.46939,0.46939
cigre_residential,01T16:00,0.475885,0.475885
cigre_residential,01T16:30,0.533607142857143,0.533607142857143
cigre_residential,01T17:00,0.649948,0.649948
cigre_residential,01T17:30,0.724983333333333,0.724983333333333
cigre_residential,01T18:00,0.804716,0.804716
cigre_residential,01T18:30,0.87544,0.87544
cigre_residential,01T19:00,0.887003333333333,0.887003333333333
cigre_residential,01T19:30,0.876035,0.876035
cigre_residential,01T20:00,0.81267,0.81267
cigre_residential,01T20:30,0.741805,0.741805
cigre_residential,01T21:00,0.695955,0.695955
cigre_residential,01T21:30,0.6545725,0.6545725
cigre_residential,01T22:00,0.5978025,0.5978025
cigre_residential,01T22:30,0.484544,0.484544
cigre_residential,01T23:00,0.437006,0.437006
cigre_residential,01T23:30,0.325466666666667,0.325466666666667
cigre_commercial,01T00:00,0.34851,0.34851
cigre_commercial,01T00:30,0.330233333333333,0.330233333333333
cigre_commercial,01T01:00,0.31933,0.31933
cigre_commercial,01T01:30,0.302913333333333,0.302913333333333
cigre_commercial,01T02:00,0.287803333333333,0.287803333333333
cigre_commercial,01T02:30,0.2860625,0.2860625
cigre_commercial,01T03:00,0.3120625,0.3120625
cigre_commercial,01T03:30,0.3436825,0.3436825
cigre_commercial,01T04:00,0.351366666666667,0.351366666666667
cigre_commercial,01T04:30,0.425904,0.425904
cigre_commercial,01T05:00,0.44094,0.44094
cigre_commercial,01T05:30,0.54832,0.54832
cigre_commercial,01T06:00,0.638761428571429,0.638761428571429
cigre_commercial,01T06:30,0.780581666666667,0.780581666666667
cigre_commercial,01T07:00,0.858891428571429,0.858891428571429
cigre_commercial,01T07:30,0.944865,0.944865
cigre_commercial,01T08:00,0.978003333333333,0.978003333333333
cigre_commercial,01T08:30,0.995682,0.995682
cigre_commercial,01T09:00,0.9866675,0.9866675
cigre_commercial,01T09:30,0.9952825,0.9952825
cigre_commercial,01T10:00,0.963543333333333,0.963543333333333
cigre_commercial,01T10:30,0.897908,0.897908
cigre_commercial,01T11:00,0.8326825,0.8326825
cigre_commercial,01T11:30,0.797208,0.797208
cigre_commercial,01T12:00,0.831705,0.831705
cigre_commercial,01T12:30,0.84993,0.84993
cigre_commercial,01T13:00,0.856103333333333,0.856103333333333
cigre_commercial,01T13:30,0.8555,0.8555
cigre_commercial,01T14:00,0.8565525,0.8565525
cigre_commercial,01T14:30,0.85689,0.85689
cigre_commercial,01T15:00,0.853895,0.853895
cigre_commercial,01T15:30,0.85045,0.85045
cigre_commercial,01T16:00,0.7806225,0.7806225
cigre_commercial,01T16:30,0.639364285714286,0.639364285714286
cigre_commercial,01T17:00,0.553738,0.553738
cigre_commercial,01T17:30,0.528993333333333,0.528993333333333
cigre_commercial,01T18:00,0.503166,0.503166
cigre_commercial,01T18:30,0.46944,0.46944
cigre_commercial,01T19:00,0.472656666666667,0.472656666666667
cigre_commercial,01T19:30,0.4502925,0.4502925
cigre_commercial,01T20:00,0.41669,0.41669
cigre_commercial,01T20:30,0.39012,0.39012
cigre_commercial,01T21:00,0.3934525,0.3934525
cigre_commercial,01T21:30,0.384115,0.384115
cigre_commercial,01T22:00,0.368255,0.368255
cigre_commercial,01T22:30,0.346614,0.346614
cigre_commercial,01T23:00,0.348274,0.348274
cigre_commercial,01T23:30,0.345066666666667,0.345066666666667
