der_name,electric_grid_name,der_type,model_name,node_name,is_phase_0_connected,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,n_phases,connection,active_power,reactive_power
58,hougang_405node,fixed_load,residential,27,0,1,0,0,1,wye,-107510.5596,-35337.0121
59,hougang_405node,fixed_load,residential,27,0,0,1,0,1,wye,-61434.6055,-20192.5783
60,hougang_405node,fixed_load,residential,27,0,0,0,1,1,wye,-61434.6055,-20192.5783
61,hougang_405node,fixed_load,residential,28,0,1,0,0,1,wye,-134149.8254,-44092.9153
62,hougang_405node,fixed_load,residential,28,0,0,1,0,1,wye,-97563.5094,-32067.5748
63,hougang_405node,fixed_load,residential,28,0,0,0,1,1,wye,-134149.8254,-44092.9153
64,hougang_405node,fixed_load,residential,29,0,1,0,0,1,wye,-110824.7536,-36426.335
65,hougang_405node,fixed_load,residential,29,0,0,1,0,1,wye,-66494.8521,-21855.801
66,hougang_405node,fixed_load,residential,29,0,0,0,1,1,wye,-155154.655,-50996.8689
67,hougang_405node,fixed_load,residential,30,0,1,0,0,1,wye,-74497.3878,-24486.1072
68,hougang_405node,fixed_load,residential,30,0,0,1,0,1,wye,-47891.1778,-15741.0689
69,hougang_405node,fixed_load,residential,30,0,0,0,1,1,wye,-37248.6939,-12243.0536
70,hougang_405node,fixed_load,residential,31,0,1,0,0,1,wye,-78435.6784,-25780.5608
71,hougang_405node,fixed_load,residential,31,0,0,1,0,1,wye,-69720.603,-22916.054
72,hougang_405node,fixed_load,residential,31,0,0,0,1,1,wye,-113295.9799,-37238.5878
73,hougang_405node,fixed_load,residential,32,0,1,0,0,1,wye,-46294.6411,-15216.3127
74,hougang_405node,fixed_load,residential,32,0,0,1,0,1,wye,-72748.7217,-23911.3485
75,hougang_405node,fixed_load,residential,32,0,0,0,1,1,wye,-79362.2418,-26085.1074
76,hougang_405node,fixed_load,industrial,33,0,1,0,0,1,wye,-92133.21,-30282.7217
77,hougang_405node,fixed_load,industrial,33,0,0,1,0,1,wye,-110559.852,-36339.266
78,hougang_405node,fixed_load,industrial,33,0,0,0,1,1,wye,-73706.568,-24226.1773
79,hougang_405node,fixed_load,industrial,34,0,1,0,0,1,wye,-36853.284,-12113.0887
80,hougang_405node,fixed_load,industrial,34,0,0,1,0,1,wye,-85990.996,-28263.8736
81,hougang_405node,fixed_load,industrial,34,0,0,0,1,1,wye,-61422.14,-20188.4811
82,hougang_405node,fixed_load,industrial,35,0,1,0,0,1,wye,-159697.564,-52490.0509
83,hougang_405node,fixed_load,industrial,35,0,0,1,0,1,wye,-98275.424,-32301.5698
84,hougang_405node,fixed_load,industrial,35,0,0,0,1,1,wye,-110559.852,-36339.266
85,hougang_405node,fixed_load,industrial,36,0,1,0,0,1,wye,-55279.926,-18169.633
86,hougang_405node,fixed_load,industrial,36,0,0,1,0,1,wye,-119773.173,-39367.5382
87,hougang_405node,fixed_load,industrial,36,0,0,0,1,1,wye,-101346.531,-33310.9939
88,hougang_405node,fixed_load,industrial,37,0,1,0,0,1,wye,-73706.568,-24226.1773
89,hougang_405node,fixed_load,industrial,37,0,0,1,0,1,wye,-92133.21,-30282.7217
90,hougang_405node,fixed_load,industrial,37,0,0,0,1,1,wye,-110559.852,-36339.266
91,hougang_405node,fixed_load,industrial,38,0,1,0,0,1,wye,-79848.782,-26245.0255
92,hougang_405node,fixed_load,industrial,38,0,0,1,0,1,wye,-42995.498,-14131.9368
93,hougang_405node,fixed_load,industrial,38,0,0,0,1,1,wye,-61422.14,-20188.4811
94,hougang_405node,fixed_load,industrial,39,0,1,0,0,1,wye,-43248.1172,-14214.9687
95,hougang_405node,fixed_load,industrial,39,0,0,1,0,1,wye,-100912.2734,-33168.2603
96,hougang_405node,fixed_load,industrial,39,0,0,0,1,1,wye,-72080.1953,-23691.6145
97,hougang_405node,fixed_load,industrial,40,0,1,0,0,1,wye,-159697.564,-52490.0509
98,hougang_405node,fixed_load,industrial,40,0,0,1,0,1,wye,-110559.852,-36339.266
99,hougang_405node,fixed_load,industrial,40,0,0,0,1,1,wye,-98275.424,-32301.5698
100,hougang_405node,fixed_load,industrial,41,0,1,0,0,1,wye,-82919.889,-27254.4495
101,hougang_405node,fixed_load,industrial,41,0,0,1,0,1,wye,-92133.21,-30282.7217
102,hougang_405node,fixed_load,industrial,41,0,0,0,1,1,wye,-101346.531,-33310.9939
103,hougang_405node,fixed_load,industrial,42,0,1,0,0,1,wye,-67564.354,-22207.3292
104,hougang_405node,fixed_load,industrial,42,0,0,1,0,1,wye,-49137.712,-16150.7849
105,hougang_405node,fixed_load,industrial,42,0,0,0,1,1,wye,-67564.354,-22207.3292
106,hougang_405node,fixed_load,industrial,43,0,1,0,0,1,wye,-36853.284,-12113.0887
107,hougang_405node,fixed_load,industrial,43,0,0,1,0,1,wye,-73706.568,-24226.1773
108,hougang_405node,fixed_load,industrial,43,0,0,0,1,1,wye,-73706.568,-24226.1773
109,hougang_405node,fixed_load,industrial,44,0,1,0,0,1,wye,-50456.1367,-16584.1301
110,hougang_405node,fixed_load,industrial,44,0,0,1,0,1,wye,-93704.2539,-30799.0988
111,hougang_405node,fixed_load,industrial,44,0,0,0,1,1,wye,-72080.1953,-23691.6145
112,hougang_405node,fixed_load,industrial,45,0,1,0,0,1,wye,-110559.852,-36339.266
113,hougang_405node,fixed_load,industrial,45,0,0,1,0,1,wye,-98275.424,-32301.5698
114,hougang_405node,fixed_load,industrial,45,0,0,0,1,1,wye,-159697.564,-52490.0509
115,hougang_405node,fixed_load,residential,49,0,1,0,0,1,wye,-109897.043,-36121.4112
116,hougang_405node,fixed_load,residential,49,0,0,1,0,1,wye,-98907.3387,-32509.2701
117,hougang_405node,fixed_load,residential,49,0,0,0,1,1,wye,-120886.7473,-39733.5524
118,hougang_405node,fixed_load,residential,50,0,1,0,0,1,wye,-65507.5164,-21531.2794
119,hougang_405node,fixed_load,residential,50,0,0,1,0,1,wye,-87343.3552,-28708.3725
120,hougang_405node,fixed_load,residential,50,0,0,0,1,1,wye,-65507.5164,-21531.2794
121,hougang_405node,fixed_load,industrial,51,0,1,0,0,1,wye,-79848.782,-26245.0255
122,hougang_405node,fixed_load,industrial,51,0,0,1,0,1,wye,-49137.712,-16150.7849
123,hougang_405node,fixed_load,industrial,51,0,0,0,1,1,wye,-55279.926,-18169.633
124,hougang_405node,fixed_load,residential,52,0,1,0,0,1,wye,-147443.9612,-48462.4865
125,hougang_405node,fixed_load,residential,52,0,0,1,0,1,wye,-102076.5885,-33550.9522
126,hougang_405node,fixed_load,residential,52,0,0,0,1,1,wye,-90734.7454,-29823.0686
127,hougang_405node,fixed_load,residential,53,0,1,0,0,1,wye,-116646.3775,-38339.8102
128,hougang_405node,fixed_load,residential,53,0,0,1,0,1,wye,-84833.7291,-27883.4983
129,hougang_405node,fixed_load,residential,53,0,0,0,1,1,wye,-116646.3775,-38339.8102
130,hougang_405node,fixed_load,residential,54,0,1,0,0,1,wye,-52908.1612,-17390.0716
131,hougang_405node,fixed_load,residential,54,0,0,1,0,1,wye,-52908.1612,-17390.0716
132,hougang_405node,fixed_load,residential,54,0,0,0,1,1,wye,-92589.2821,-30432.6253
133,hougang_405node,fixed_load,residential,55,0,1,0,0,1,wye,-73706.568,-24226.1773
134,hougang_405node,fixed_load,residential,55,0,0,1,0,1,wye,-36853.284,-12113.0887
135,hougang_405node,fixed_load,residential,55,0,0,0,1,1,wye,-73706.568,-24226.1773
136,hougang_405node,fixed_load,residential,59,0,1,0,0,1,wye,-88247.2328,-29005.4627
137,hougang_405node,fixed_load,residential,59,0,0,1,0,1,wye,-64179.8057,-21094.882
138,hougang_405node,fixed_load,residential,59,0,0,0,1,1,wye,-88247.2328,-29005.4627
139,hougang_405node,fixed_load,residential,60,0,1,0,0,1,wye,-59521.6814,-19563.8306
140,hougang_405node,fixed_load,residential,60,0,0,1,0,1,wye,-52908.1612,-17390.0716
141,hougang_405node,fixed_load,residential,60,0,0,0,1,1,wye,-85975.762,-28258.8664
142,hougang_405node,fixed_load,residential,61,0,1,0,0,1,wye,-96998.2956,-31881.798
143,hougang_405node,fixed_load,residential,61,0,0,1,0,1,wye,-70544.215,-23186.7622
144,hougang_405node,fixed_load,residential,61,0,0,0,1,1,wye,-96998.2956,-31881.798
145,hougang_405node,fixed_load,residential,62,0,1,0,0,1,wye,-59521.6814,-19563.8306
146,hougang_405node,fixed_load,residential,62,0,0,1,0,1,wye,-72748.7217,-23911.3485
147,hougang_405node,fixed_load,residential,62,0,0,0,1,1,wye,-66135.2015,-21737.5895
148,hougang_405node,fixed_load,residential,63,0,1,0,0,1,wye,-79362.2418,-26085.1074
149,hougang_405node,fixed_load,residential,63,0,0,1,0,1,wye,-114634.3493,-37678.4885
150,hougang_405node,fixed_load,residential,63,0,0,0,1,1,wye,-70544.215,-23186.7622
151,hougang_405node,fixed_load,residential,64,0,1,0,0,1,wye,-52908.1612,-17390.0716
