model_name,case_name,timeseries_name,use_per_unit,scaling_factor
HG90,case_2,HG90,1.0,0.3
HG91,case_2,HG91,1.0,0.3
HG92,case_2,HG92,1.0,0.3
HG94,case_2,HG94,1.0,0.3
HG95,case_2,HG95,1.0,0.3
HG96,case_2,HG96,1.0,0.3
HG97,case_2,HG97,1.0,0.3
HG99,case_2,HG99,1.0,0.3
HG9T,case_2,HG9T,1.0,0.3
HG10,case_3,HG10,1.0,0.3
HG11,case_3,HG11,1.0,0.3
HG12,case_3,HG12,1.0,0.3
HG13,case_3,HG13,1.0,0.3
HG14,case_3,HG14,1.0,0.3
HG15,case_3,HG15,1.0,0.3
HG16,case_3,HG16,1.0,0.3
HG17,case_3,HG17,1.0,0.3
HG19,case_3,HG19,1.0,0.3
HG1A,case_3,HG1A,1.0,0.3
HG1B,case_3,HG1B,1.0,0.3
HG1C,case_3,HG1C,1.0,0.3
HG1D,case_3,HG1D,1.0,0.3
HG2,case_3,HG2,1.0,0.3
HG20,case_3,HG20,1.0,0.3
HG22,case_3,HG22,1.0,0.3
HG23,case_3,HG23,1.0,0.3
HG24,case_3,HG24,1.0,0.3
HG25,case_3,HG25,1.0,0.3
HG29,case_3,HG29,1.0,0.3
HG2B,case_3,HG2B,1.0,0.3
HG30,case_3,HG30,1.0,0.3
HG31,case_3,HG31,1.0,0.3
HG32,case_3,HG32,1.0,0.3
HG33,case_3,HG33,1.0,0.3
HG34,case_3,HG34,1.0,0.3
HG35,case_3,HG35,1.0,0.3
HG36,case_3,HG36,1.0,0.3
HG37,case_3,HG37,1.0,0.3
HG38,case_3,HG38,1.0,0.3
HG39,case_3,HG39,1.0,0.3
HG4,case_3,HG4,1.0,0.3
HG41,case_3,HG41,1.0,0.3
HG42,case_3,HG42,1.0,0.3
HG43,case_3,HG43,1.0,0.3
HG44,case_3,HG44,1.0,0.3
HG45,case_3,HG45,1.0,0.3
HG46,case_3,HG46,1.0,0.3
HG47,case_3,HG47,1.0,0.3
HG48,case_3,HG48,1.0,0.3
HG49,case_3,HG49,1.0,0.3
HG5,case_3,HG5,1.0,0.3
HG50,case_3,HG50,1.0,0.3
HG51,case_3,HG51,1.0,0.3
HG52,case_3,HG52,1.0,0.3
HG53,case_3,HG53,1.0,0.3
HG54,case_3,HG54,1.0,0.3
HG55,case_3,HG55,1.0,0.3
HG56,case_3,HG56,1.0,0.3
HG60,case_3,HG60,1.0,0.3
HG61,case_3,HG61,1.0,0.3
HG62,case_3,HG62,1.0,0.3
HG64,case_3,HG64,1.0,0.3
HG67,case_3,HG67,1.0,0.3
HG68,case_3,HG68,1.0,0.3
HG69,case_3,HG69,1.0,0.3
HG7,case_3,HG7,1.0,0.3
HG70,case_3,HG70,1.0,0.3
HG71,case_3,HG71,1.0,0.3
HG73,case_3,HG73,1.0,0.3
HG74,case_3,HG74,1.0,0.3
HG75,case_3,HG75,1.0,0.3
HG76,case_3,HG76,1.0,0.3
HG77,case_3,HG77,1.0,0.3
HG78,case_3,HG78,1.0,0.3
HG79,case_3,HG79,1.0,0.3
HG80,case_3,HG80,1.0,0.3
HG86,case_3,HG86,1.0,0.3
HG87,case_3,HG87,1.0,0.3
HG88,case_3,HG88,1.0,0.3
HG89,case_3,HG89,1.0,0.3
HG9,case_3,HG9,1.0,0.3
HG90,case_3,HG90,1.0,0.3
HG91,case_3,HG91,1.0,0.3
HG92,case_3,HG92,1.0,0.3
HG94,case_3,HG94,1.0,0.3
HG95,case_3,HG95,1.0,0.3
HG96,case_3,HG96,1.0,0.3
HG97,case_3,HG97,1.0,0.3
HG99,case_3,HG99,1.0,0.3
HG9T,case_3,HG9T,1.0,0.3
