transformer_name,electric_grid_name,transformer_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,apparent_power
1,singapore_6node,default_transformer,2,3,1,1,1,wye-wye,1000000.0
2,singapore_6node,default_transformer,2,5,1,1,1,wye-wye,1000000.0
