"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESD","25 Jul 2021","22","0.60"
"MRP","PRIRESD","25 Jul 2021","23","0.90"
"MRP","PRIRESD","25 Jul 2021","24","0.35"
"MRP","PRIRESD","25 Jul 2021","25","0.04"
"MRP","PRIRESD","25 Jul 2021","26","0.04"
"MRP","PRIRESD","25 Jul 2021","27","0.04"
"MRP","PRIRESD","25 Jul 2021","28","0.04"
"MRP","PRIRESD","25 Jul 2021","29","0.04"
"MRP","PRIRESD","25 Jul 2021","30","0.04"
"MRP","PRIRESD","25 Jul 2021","31","0.48"
"MRP","PRIRESD","25 Jul 2021","32","0.35"
"MRP","PRIRESD","25 Jul 2021","33","0.48"
"MRP","PRIRESD","25 Jul 2021","34","0.48"
"MRP","PRIRESD","25 Jul 2021","35","0.48"
"MRP","PRIRESD","25 Jul 2021","36","0.35"
"MRP","PRIRESD","25 Jul 2021","37","0.05"
"MRP","PRIRESD","25 Jul 2021","38","0.10"
"MRP","PRIRESD","25 Jul 2021","39","0.48"
"MRP","PRIRESD","25 Jul 2021","40","0.60"
"MRP","PRIRESD","25 Jul 2021","41","0.53"
"MRP","PRIRESD","25 Jul 2021","42","0.48"
"MRP","PRIRESD","25 Jul 2021","43","0.90"
"MRP","PRIRESD","25 Jul 2021","44","0.53"
"MRP","PRIRESD","25 Jul 2021","45","0.35"
"MRP","PRIRESD","25 Jul 2021","46","0.05"
"MRP","PRIRESD","25 Jul 2021","47","0.05"
"MRP","PRIRESD","25 Jul 2021","48","0.05"
"MRP","PRIRESE","25 Jul 2021","1","0.37"
"MRP","PRIRESE","25 Jul 2021","2","0.25"
"MRP","PRIRESE","25 Jul 2021","3","0.35"
"MRP","PRIRESE","25 Jul 2021","4","0.37"
"MRP","PRIRESE","25 Jul 2021","5","0.35"
"MRP","PRIRESE","25 Jul 2021","6","0.25"
"MRP","PRIRESE","25 Jul 2021","7","0.22"
"MRP","PRIRESE","25 Jul 2021","8","0.17"
"MRP","PRIRESE","25 Jul 2021","9","0.22"
"MRP","PRIRESE","25 Jul 2021","10","0.20"
"MRP","PRIRESE","25 Jul 2021","11","0.15"
"MRP","PRIRESE","25 Jul 2021","12","0.20"
"MRP","PRIRESE","25 Jul 2021","13","0.20"
"MRP","PRIRESE","25 Jul 2021","14","0.22"
"MRP","PRIRESE","25 Jul 2021","15","0.20"
"MRP","PRIRESE","25 Jul 2021","16","0.15"
"MRP","PRIRESE","25 Jul 2021","17","0.22"
"MRP","PRIRESE","25 Jul 2021","18","0.37"
"MRP","PRIRESE","25 Jul 2021","19","0.37"
"MRP","PRIRESE","25 Jul 2021","20","0.39"
"MRP","PRIRESE","25 Jul 2021","21","0.47"
"MRP","PRIRESE","25 Jul 2021","22","0.25"
"MRP","PRIRESE","25 Jul 2021","23","0.37"
"MRP","PRIRESE","25 Jul 2021","24","0.15"
"MRP","PRIRESE","25 Jul 2021","25","0.02"
"MRP","PRIRESE","25 Jul 2021","26","0.02"
"MRP","PRIRESE","25 Jul 2021","27","0.02"
"MRP","PRIRESE","25 Jul 2021","28","0.02"
"MRP","PRIRESE","25 Jul 2021","29","0.02"
"MRP","PRIRESE","25 Jul 2021","30","0.02"
"MRP","PRIRESE","25 Jul 2021","31","0.20"
"MRP","PRIRESE","25 Jul 2021","32","0.15"
"MRP","PRIRESE","25 Jul 2021","33","0.20"
"MRP","PRIRESE","25 Jul 2021","34","0.20"
"MRP","PRIRESE","25 Jul 2021","35","0.20"
"MRP","PRIRESE","25 Jul 2021","36","0.15"
"MRP","PRIRESE","25 Jul 2021","37","0.02"
"MRP","PRIRESE","25 Jul 2021","38","0.04"
"MRP","PRIRESE","25 Jul 2021","39","0.20"
"MRP","PRIRESE","25 Jul 2021","40","0.25"
"MRP","PRIRESE","25 Jul 2021","41","0.22"
"MRP","PRIRESE","25 Jul 2021","42","0.20"
"MRP","PRIRESE","25 Jul 2021","43","0.37"
"MRP","PRIRESE","25 Jul 2021","44","0.22"
"MRP","PRIRESE","25 Jul 2021","45","0.15"
"MRP","PRIRESE","25 Jul 2021","46","0.02"
"MRP","PRIRESE","25 Jul 2021","47","0.02"
"MRP","PRIRESE","25 Jul 2021","48","0.02"
"MRP","CONRESA","25 Jul 2021","1","21.48"
"MRP","CONRESA","25 Jul 2021","2","12.28"
"MRP","CONRESA","25 Jul 2021","3","12.28"
"MRP","CONRESA","25 Jul 2021","4","12.28"
"MRP","CONRESA","25 Jul 2021","5","12.28"
"MRP","CONRESA","25 Jul 2021","6","11.88"
"MRP","CONRESA","25 Jul 2021","7","8.00"
"MRP","CONRESA","25 Jul 2021","8","8.00"
"MRP","CONRESA","25 Jul 2021","9","8.00"
"MRP","CONRESA","25 Jul 2021","10","2.67"
"MRP","CONRESA","25 Jul 2021","11","8.00"
"MRP","CONRESA","25 Jul 2021","12","8.00"
"MRP","CONRESA","25 Jul 2021","13","2.67"
"MRP","CONRESA","25 Jul 2021","14","11.88"
"MRP","CONRESA","25 Jul 2021","15","9.97"
"MRP","CONRESA","25 Jul 2021","16","11.08"
"MRP","CONRESA","25 Jul 2021","17","12.12"
"MRP","CONRESA","25 Jul 2021","18","12.28"
"MRP","CONRESA","25 Jul 2021","19","13.33"
"MRP","CONRESA","25 Jul 2021","20","17.11"
"MRP","CONRESA","25 Jul 2021","21","33.34"
"MRP","CONRESA","25 Jul 2021","22","13.09"
"MRP","CONRESA","25 Jul 2021","23","4.87"
"MRP","CONRESA","25 Jul 2021","24","11.88"
"MRP","CONRESA","25 Jul 2021","25","20.00"
"MRP","CONRESA","25 Jul 2021","26","20.00"
"MRP","CONRESA","25 Jul 2021","27","20.00"
"MRP","CONRESA","25 Jul 2021","28","20.00"
"MRP","CONRESA","25 Jul 2021","29","20.00"
"MRP","CONRESA","25 Jul 2021","30","40.00"
"MRP","CONRESA","25 Jul 2021","31","40.00"
"MRP","CONRESA","25 Jul 2021","32","48.44"
"MRP","CONRESA","25 Jul 2021","33","44.42"
"MRP","CONRESA","25 Jul 2021","34","77.23"
"MRP","CONRESA","25 Jul 2021","35","77.25"
"MRP","CONRESA","25 Jul 2021","36","77.16"
"MRP","CONRESA","25 Jul 2021","37","80.52"
"MRP","CONRESA","25 Jul 2021","38","149.99"
"MRP","CONRESA","25 Jul 2021","39","149.99"
"MRP","CONRESA","25 Jul 2021","40","149.99"
"MRP","CONRESA","25 Jul 2021","41","149.99"
"MRP","CONRESA","25 Jul 2021","42","184.24"
"MRP","CONRESA","25 Jul 2021","43","149.99"
"MRP","CONRESA","25 Jul 2021","44","149.99"
"MRP","CONRESA","25 Jul 2021","45","149.99"
"MRP","CONRESA","25 Jul 2021","46","62.52"
"MRP","CONRESA","25 Jul 2021","47","149.99"
"MRP","CONRESA","25 Jul 2021","48","12.28"
"MRP","CONRESB","25 Jul 2021","1","18.26"
"MRP","CONRESB","25 Jul 2021","2","10.44"
"MRP","CONRESB","25 Jul 2021","3","10.44"
"MRP","CONRESB","25 Jul 2021","4","10.44"
"MRP","CONRESB","25 Jul 2021","5","10.44"
"MRP","CONRESB","25 Jul 2021","6","10.10"
"MRP","CONRESB","25 Jul 2021","7","6.80"
"MRP","CONRESB","25 Jul 2021","8","6.80"
"MRP","CONRESB","25 Jul 2021","9","6.80"
"MRP","CONRESB","25 Jul 2021","10","2.27"
"MRP","CONRESB","25 Jul 2021","11","6.80"
"MRP","CONRESB","25 Jul 2021","12","6.80"
"MRP","CONRESB","25 Jul 2021","13","2.27"
"MRP","CONRESB","25 Jul 2021","14","10.10"
"MRP","CONRESB","25 Jul 2021","15","8.47"
"MRP","CONRESB","25 Jul 2021","16","9.42"
"MRP","CONRESB","25 Jul 2021","17","10.30"
"MRP","CONRESB","25 Jul 2021","18","10.44"
"MRP","CONRESB","25 Jul 2021","19","11.33"
"MRP","CONRESB","25 Jul 2021","20","14.54"
"MRP","CONRESB","25 Jul 2021","21","28.34"
"MRP","CONRESB","25 Jul 2021","22","11.12"
"MRP","CONRESB","25 Jul 2021","23","4.14"
"MRP","CONRESB","25 Jul 2021","24","10.10"
"MRP","CONRESB","25 Jul 2021","25","17.00"
"MRP","CONRESB","25 Jul 2021","26","17.00"
"MRP","CONRESB","25 Jul 2021","27","17.00"
"MRP","CONRESB","25 Jul 2021","28","17.00"
"MRP","CONRESB","25 Jul 2021","29","17.00"
"MRP","CONRESB","25 Jul 2021","30","34.00"
"MRP","CONRESB","25 Jul 2021","31","34.00"
"MRP","CONRESB","25 Jul 2021","32","41.17"
"MRP","CONRESB","25 Jul 2021","33","37.76"
"MRP","CONRESB","25 Jul 2021","34","65.65"
"MRP","CONRESB","25 Jul 2021","35","65.67"
"MRP","CONRESB","25 Jul 2021","36","65.59"
"MRP","CONRESB","25 Jul 2021","37","68.44"
"MRP","CONRESB","25 Jul 2021","38","127.49"
"MRP","CONRESB","25 Jul 2021","39","127.49"
"MRP","CONRESB","25 Jul 2021","40","127.49"
"MRP","CONRESB","25 Jul 2021","41","127.49"
"MRP","CONRESB","25 Jul 2021","42","156.60"
"MRP","CONRESB","25 Jul 2021","43","127.49"
"MRP","CONRESB","25 Jul 2021","44","127.49"
"MRP","CONRESB","25 Jul 2021","45","127.49"
"MRP","CONRESB","25 Jul 2021","46","53.14"
"MRP","CONRESB","25 Jul 2021","47","127.49"
"MRP","CONRESB","25 Jul 2021","48","10.44"
"MRP","CONRESC","25 Jul 2021","1","16.11"
"MRP","CONRESC","25 Jul 2021","2","9.21"
"MRP","CONRESC","25 Jul 2021","3","9.21"
"MRP","CONRESC","25 Jul 2021","4","9.21"
"MRP","CONRESC","25 Jul 2021","5","9.21"
"MRP","CONRESC","25 Jul 2021","6","8.91"
"MRP","CONRESC","25 Jul 2021","7","6.00"
"MRP","CONRESC","25 Jul 2021","8","6.00"
"MRP","CONRESC","25 Jul 2021","9","6.00"
"MRP","CONRESC","25 Jul 2021","10","2.00"
"MRP","CONRESC","25 Jul 2021","11","6.00"
