electric_grid_name,source_node_name,base_frequency
singapore_district1,0,50.0
singapore_district2,0,50.0
singapore_district3,0,50.0
singapore_district4,0,50.0
singapore_district5,0,50.0
singapore_district6,0,50.0
singapore_district7,0,50.0
singapore_district8,0,50.0
singapore_district9,0,50.0
singapore_district10,0,50.0
singapore_district11,0,50.0
singapore_district12,0,50.0
singapore_district13,0,50.0
singapore_district14,0,50.0
singapore_district15,0,50.0
singapore_district16,0,50.0
singapore_district17,0,50.0
singapore_district18,0,50.0
singapore_district19,0,50.0
singapore_district20,0,50.0
singapore_district21,0,50.0
singapore_district22,0,50.0
singapore_district23,0,50.0
singapore_district24,0,50.0
singapore_district25,0,50.0
singapore_district26,0,50.0
singapore_district27,0,50.0
singapore_district28,0,50.0
singapore_district29,0,50.0
singapore_district30,0,50.0
singapore_district31,0,50.0
singapore_district32,0,50.0
singapore_district33,0,50.0
singapore_district34,0,50.0
singapore_district35,0,50.0
singapore_district36,0,50.0
singapore_all,0,50.0
