definition_name,nominal_charging_definition_type,nominal_charging_definition_name,maximum_charging_definition_type,maximum_charging_definition_name,maximum_discharging_definition_type,maximum_discharging_definition_name,maximum_energy_definition_type,maximum_energy_definition_name,departing_energy_definition_type,departing_energy_definition_name
flexible_ev_charger_generic_night,schedule,flexible_ev_charger_generic_night_nominal,schedule,flexible_ev_charger_generic_night_maximum_charging,schedule,flexible_ev_charger_generic_night_maximum_discharging,schedule,flexible_ev_charger_generic_night_maximum_energy,schedule,flexible_ev_charger_generic_night_departing_energy
flexible_ev_charger_generic_day,schedule,flexible_ev_charger_generic_day_nominal,schedule,flexible_ev_charger_generic_day_maximum_charging,schedule,flexible_ev_charger_generic_day_maximum_discharging,schedule,flexible_ev_charger_generic_day_maximum_energy,schedule,flexible_ev_charger_generic_day_departing_energy
