"INFORMATION TYPE","RESERVE GROUP","DATE","PERIOD","PRICE ($/MWh)"
"MRP","PRIRESC","01 Apr 2021","3","0.75"
"MRP","PRIRESC","01 Apr 2021","4","0.54"
"MRP","PRIRESC","01 Apr 2021","5","0.53"
"MRP","PRIRESC","01 Apr 2021","6","0.10"
"MRP","PRIRESC","01 Apr 2021","7","0.10"
"MRP","PRIRESC","01 Apr 2021","8","0.10"
"MRP","PRIRESC","01 Apr 2021","9","0.10"
"MRP","PRIRESC","01 Apr 2021","10","0.10"
"MRP","PRIRESC","01 Apr 2021","11","0.75"
"MRP","PRIRESC","01 Apr 2021","12","0.75"
"MRP","PRIRESC","01 Apr 2021","13","0.75"
"MRP","PRIRESC","01 Apr 2021","14","0.53"
"MRP","PRIRESC","01 Apr 2021","15","0.53"
"MRP","PRIRESC","01 Apr 2021","16","0.53"
"MRP","PRIRESC","01 Apr 2021","17","0.44"
"MRP","PRIRESC","01 Apr 2021","18","0.53"
"MRP","PRIRESC","01 Apr 2021","19","0.53"
"MRP","PRIRESC","01 Apr 2021","20","0.53"
"MRP","PRIRESC","01 Apr 2021","21","0.44"
"MRP","PRIRESC","01 Apr 2021","22","0.66"
"MRP","PRIRESC","01 Apr 2021","23","0.44"
"MRP","PRIRESC","01 Apr 2021","24","0.44"
"MRP","PRIRESC","01 Apr 2021","25","0.44"
"MRP","PRIRESC","01 Apr 2021","26","0.44"
"MRP","PRIRESC","01 Apr 2021","27","0.44"
"MRP","PRIRESC","01 Apr 2021","28","0.44"
"MRP","PRIRESC","01 Apr 2021","29","0.04"
"MRP","PRIRESC","01 Apr 2021","30","0.04"
"MRP","PRIRESC","01 Apr 2021","31","0.05"
"MRP","PRIRESC","01 Apr 2021","32","0.04"
"MRP","PRIRESC","01 Apr 2021","33","0.31"
"MRP","PRIRESC","01 Apr 2021","34","0.11"
"MRP","PRIRESC","01 Apr 2021","35","0.44"
"MRP","PRIRESC","01 Apr 2021","36","0.44"
"MRP","PRIRESC","01 Apr 2021","37","0.44"
"MRP","PRIRESC","01 Apr 2021","38","0.19"
"MRP","PRIRESC","01 Apr 2021","39","0.75"
"MRP","PRIRESC","01 Apr 2021","40","0.75"
"MRP","PRIRESC","01 Apr 2021","41","0.74"
"MRP","PRIRESC","01 Apr 2021","42","0.74"
"MRP","PRIRESC","01 Apr 2021","43","0.75"
